2026-06-30,20260630-41000008-0991frlg,2026-07-02,2026-07-03,595-81-02960,,주식회사 뉴진사이언스,김기환,경기도 광명시 소하로  190 (소하동) b동 921호,104-81-58502,,(주)아이마켓코리아,김학재,"서울특별시 강남구 삼성로  511 (삼성동, 아이콘 삼성)","2,200,000","2,000,000","200,000",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,ap.master@imarketkorea.com,,2026-06-30,ExTransfection 100 μL Kit,,,0,"2,000,000","200,000"
2026-06-24,20260624-41000061-dwr921h8,2026-06-24,2026-06-24,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하동 190,광명G타워 B동 921호",402-82-15272,,전북대학교산학협력단,백기태,전북특별자치도 전주시 덕진구 백제대로 567(금암동),"4,983,000","4,530,000","453,000",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,sujung1540@naver.com,,2026-06-24,Patho Gene-spin™ DNA RNA Extraction Kit 외 7건,,0,0,"4,530,000","453,000"
2026-06-22,20260622-41000061-8ulje2pm,2026-06-22,2026-06-22,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하동 190,광명G타워 B동 921호",462-18-01288,,이디랩서비스,임은지,"경긱도 의정부시 용민로 304, 504동 1802호(낙양동, 반도유보라아이비파크)","13,200,000","12,000,000","1,200,000",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,edlabs@naver.com,,2026-06-22,"ExTransfection, Transfection System starter pack (pipette, Station, 10ul, 100ul tips 192reaction)",,1,"12,000,000","12,000,000","1,200,000"
2026-06-11,20260611-41000061-ss4gc2jt,2026-06-11,2026-06-11,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하동 190,광명G타워 B동 921호",463-81-03153,,주식회사 셀바스찬,김교범,"서울시특별시 중구 필동로1길 30, 01228호(필동3가, 동국대학교)","4,319,150","3,926,500","392,650",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,miae0812@naver.com,,2026-06-11,Stericup Quick Release-GP Sterile Vacuum Filtr 외 13건,,0,0,"3,926,500","392,650"
2026-06-11,20260611-41000061-qk11pgqd,2026-06-16,2026-06-16,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하동 190,광명G타워 B동 921호",463-81-03153,,주식회사 셀바스찬,김교범,"서울시특별시 중구 필동로1길 30, 01228호(필동3가, 동국대학교)","4,319,150","3,926,500","392,650",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,miae0812@naver.com,,2026-06-11,Stericup Quick Release-GP Sterile Vacuum Filtr 외 6건,,0,0,"3,926,500","392,650"
2026-06-11,20260611-41000061-n4avduqr,2026-06-15,2026-06-15,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하동 190,광명G타워 B동 921호",463-81-03153,,주식회사 셀바스찬,김교범,"서울시특별시 중구 필동로1길 30, 01228호(필동3가, 동국대학교)","-4,319,150","-3,926,500","-392,650",수정세금계산서,일반(수정),ASP발급,당초 승인번호 (20260611-41000061-ss4gc2jt)/기재사항 착오.정정,청구,newgenes@newgenesci.com,miae0812@naver.com,,2026-06-11,Stericup Quick Release-GP Sterile Vacuum Filtr 외 13건,,0,0,"-3,926,500","-392,650"
2026-06-11,20260611-41000061-4341me6l,2026-06-16,2026-06-16,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하동 190,광명G타워 B동 921호",463-81-03153,,주식회사 셀바스찬,김교범,"서울시특별시 중구 필동로1길 30, 01228호(필동3가, 동국대학교)","-4,319,150","-3,926,500","-392,650",수정세금계산서,일반(수정),ASP발급,당초 승인번호 (20260611-41000061-2aovopw2)/기재사항 착오.정정,청구,newgenes@newgenesci.com,miae0812@naver.com,,2026-06-11,Stericup Quick Release-GP Sterile Vacuum Filtr 외 6건,,0,0,"-3,926,500","-392,650"
2026-06-11,20260611-41000061-2aovopw2,2026-06-15,2026-06-15,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하동 190,광명G타워 B동 921호",463-81-03153,,주식회사 셀바스찬,김교범,"서울시특별시 중구 필동로1길 30, 01228호(필동3가, 동국대학교)","4,319,150","3,926,500","392,650",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,miae0812@naver.com,,2026-06-11,Stericup Quick Release-GP Sterile Vacuum Filtr 외 6건,,0,0,"3,926,500","392,650"
2026-06-10,20260610-41000061-r7d2qdkv,2026-06-10,2026-06-10,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하동 190,광명G타워 B동 921호",160-86-00927,,주식회사 다윈바이오텍,김용문,"경기도 하남시 조정대로 150, 607호(덕풍동, 아이테코)","17,716,875","16,106,250","1,610,625",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,bill@dawinbiotech.com,,2026-06-10,ExTransfection 100 ul kit (96 x 2 reactions),,6,"1,500,000","9,000,000","900,000"
2026-06-10,20260610-41000061-pvu4m9td,2026-07-03,2026-07-03,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하동 190,광명G타워 B동 921호",120-88-23213,,(주)베르티스,"한승만,노동영","경기도 과천시 과천대로7길 33, B동 301, 302호(갈현동, 디 테크 타워 과천)","990,000","900,000","90,000",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,yeji.kang@bertis.com,,2026-06-10,"Nugens 1250 µl Pipette Tip, Refill type, Natural, Sterile","[768 Tips/Pack, 10 Packs/Carton]",30,"30,000","900,000","90,000"
