일별 승인내역 조회,,,,,,
회원ID,hugyoung,,,,,
가맹점그룹,주식회사 뉴진사이언스,,,,,
카드사,전체 (전체),,,,,
조회일,2026-07-01~2026-07-31,,,,,
거래일자,거래합계,거래건수,승인소계,승인건수,취소소계,취소건수
2026-07-01,"1,606,935",1,"1,606,935",1,0,0
2026-07-06,"2,909,940",1,"2,909,940",1,0,0
2026-07-08,"2,556,840",1,"2,556,840",1,0,0
2026-07-14,"2,466,750",1,"2,466,750",1,0,0
2026-07-20,"2,637,800",1,"2,637,800",1,0,0
2026-07-22,"2,764,300",1,"2,764,300",1,0,0
2026-07-24,"3,000,000",1,"3,000,000",1,0,0
2026-07-27,"2,901,580",1,"2,901,580",1,0,0
2026-07-29,"5,093,000",1,"5,093,000",1,0,0
총계,"25,937,145",9,"25,937,145",9,0,0
